Found MCP9808!
Ready
Initial Temp: 25.1875*C
Starting at Power level 5
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.70
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.1250*C
Temp2: 26.50
Temp: 25.1250*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.70
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0625*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.60
Temp: 25.0000*C
Temp2: 26.60
Temp: 25.0000*C
Temp2: 26.70
Temp: 25.0000*C
Temp2: 26.60
Temp: 25.0000*C
Temp2: 26.50
Temp: 25.0625*C
Temp2: 26.40
Temp: 25.0000*C
Temp2: 26.30
Temp: 25.0000*C
Temp2: 25.80
Temp: 25.0000*C
Temp2: 25.70
Temp: 24.9375*C
Temp2: 25.70
Temp: 25.0000*C
Temp2: 25.70
Temp: 25.0000*C
Temp2: 25.60
Temp: 24.9375*C
Temp2: 25.60
Temp: 24.9375*C
Temp2: 25.60
Temp: 24.9375*C
Temp2: 25.60
Temp: 24.8750*C
Temp2: 25.60
Temp: 24.9375*C
Temp2: 25.50
Temp: 24.9375*C
Temp2: 25.50
Temp: 24.9375*C
Temp2: 25.60
Temp: 24.9375*C
Temp2: 25.50
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.50
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.50
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.50
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8750*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.8125*C
Temp2: 25.40
Temp: 24.7500*C
Temp2: 25.30
Temp: 24.8125*C
Temp2: 25.30
Temp: 24.7500*C
Temp2: 25.40
Temp: 24.7500*C
Temp2: 25.20
Temp: 24.7500*C
Temp2: 25.40
Temp: 24.7500*C
Temp2: 25.40
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.7500*C
Temp2: 25.20
Temp: 24.7500*C
Temp2: 25.20
Temp: 24.7500*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.30
Temp: 24.6875*C
Temp2: 25.30
Temp: 24.7500*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.30
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6875*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.10
Starting at Power level 10
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.10
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.10
Temp: 24.6250*C
Temp2: 25.10
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.5625*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.5625*C
Temp2: 25.20
Temp: 24.6250*C
Temp2: 25.20
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.30
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.30
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Starting at Power level 15
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.40
Temp: 24.5625*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.40
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.50
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6250*C
Temp2: 25.70
Temp: 24.6250*C
Temp2: 25.70
Temp: 24.6250*C
Temp2: 25.60
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.60
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.70
Temp: 24.6875*C
Temp2: 25.80
Temp: 24.6875*C
Temp2: 25.90
Temp: 24.6875*C
Temp2: 25.90
